run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-162332-505 opt=global condiciones_iniciales=[{'id': 1, 'inicio': (31.57, 5.1), 'giro_inicial': 111.5, 'meta': (18.98, 2.76), 'angulo_llegada': 197.1, 'largo': 0.75, 'ancho': 0.41, 'v_max': 2.16, 'v_inicial': 0.0, 'a_max': 0.96, 'giro_max': 34.9, 'grupo': 2, 'prioridad': 3}, {'id': 2, 'inicio': (25.82, 5.28), 'giro_inicial': 72.6, 'meta': (17.65, 11.82), 'angulo_llegada': 159.7, 'largo': 0.8, 'ancho': 0.44, 'v_max': 2.58, 'v_inicial': 0.0, 'a_max': 0.77, 'giro_max': 30.6, 'grupo': 1, 'prioridad': 1}, {'id': 3, 'inicio': (20.99, 18.14), 'giro_inicial': 150.2, 'meta': (10.81, 8.05), 'angulo_llegada': 113.2, 'largo': 0.72, 'ancho': 0.38, 'v_max': 1.94, 'v_inicial': 0.0, 'a_max': 0.83, 'giro_max': 39.6, 'grupo': 1, 'prioridad': 2}]
20260718-162332-505,1,117,16.915856,2.327630,17.607916,2.829280,-0.672000,3.268533,-0.960000,3.141593
20260718-162332-505,1,118,16.982516,2.336137,17.674575,2.837788,-0.768000,3.268533,-0.960000,3.141593
20260718-162332-505,1,119,17.058698,2.345860,17.750758,2.847511,-0.864000,3.268533,-0.960000,3.141593
20260718-162332-505,1,120,17.144403,2.356798,17.836462,2.858449,-0.960000,3.268533,-0.120000,3.141593
20260718-162332-505,1,121,17.239630,2.368952,17.931690,2.870602,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,122,17.336048,2.381257,18.028108,2.882908,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,123,17.432466,2.393563,18.124526,2.895213,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,124,17.528884,2.405868,18.220944,2.907519,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,125,17.625302,2.418174,18.317362,2.919824,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,126,17.721720,2.430479,18.413780,2.932130,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,127,17.818138,2.442785,18.510197,2.944435,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,128,17.914556,2.455090,18.606615,2.956741,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,129,18.010974,2.467395,18.703033,2.969046,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,130,18.107391,2.479701,18.799451,2.981352,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,131,18.203809,2.492006,18.895869,2.993657,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,132,18.300227,2.504312,18.992287,3.005962,-0.972000,3.268533,0.000000,3.141593
20260718-162332-505,1,133,18.396645,2.516617,19.088705,3.018268,-0.972000,3.268533,0.960000,3.141593
20260718-162332-505,1,134,18.493063,2.528923,19.185123,3.030573,-0.876000,3.268533,0.960000,3.141593
20260718-162332-505,1,135,18.579958,2.540013,19.272018,3.041663,-0.780000,3.268533,0.960000,3.141593
20260718-162332-505,1,136,18.657331,2.549888,19.349390,3.051538,-0.684000,3.268533,0.960000,3.141593
20260718-162332-505,1,137,18.725180,2.558547,19.417240,3.060198,-0.588000,3.268533,0.960000,3.141593
20260718-162332-505,1,138,18.783507,2.565991,19.475567,3.067642,-0.492000,3.268533,0.960000,3.141593
20260718-162332-505,1,139,18.832311,2.572220,19.524371,3.073870,-0.396000,3.268533,0.960000,3.141593
20260718-162332-505,1,140,18.871593,2.577233,19.563653,3.078884,-0.300000,3.268533,0.960000,3.141593
20260718-162332-505,1,141,18.901351,2.581031,19.593411,3.082682,-0.204000,3.268533,0.960000,3.141593
20260718-162332-505,1,142,18.921587,2.583614,19.613647,3.085264,-0.108000,3.268533,0.960000,3.141593
20260718-162332-505,1,143,18.932300,2.584981,19.624360,3.086632,-0.012000,3.268533,0.120000,3.141593
20260718-162332-505,1,144,18.933491,2.585133,19.625550,3.086783,-0.000000,3.268533,0.959881,0.000000
20260718-162332-505,1,145,18.933491,2.585133,19.625550,3.086783,0.095988,3.268533,0.959219,-0.595642
20260718-162332-505,1,146,18.920037,2.589556,19.619922,3.080230,0.191910,3.252761,0.960818,-0.582263
20260718-162332-505,1,147,18.893550,2.598844,19.608134,3.067853,0.287992,3.222130,0.953689,-0.107836
20260718-162332-505,1,148,18.863064,2.599451,19.581173,3.063046,0.383361,3.214572,0.954645,0.555722
20260718-162332-505,1,149,18.838960,2.574122,19.529132,3.078366,0.478825,3.272286,-0.954645,0.542523
20260718-162332-505,1,150,18.810397,2.541042,19.463622,3.092311,0.383361,3.342265,-3.833606,0.555722
20260718-162332-505,1,151,18.789715,2.512849,19.410054,3.100880,0.000000,3.399979,0.000000,0.000000
20260718-162332-505,2,0,25.729683,5.727485,25.910317,4.832515,0.077000,1.267109,0.770000,0.000000
20260718-162332-505,2,1,25.731986,5.734833,25.912619,4.839863,0.154000,1.267109,0.770000,0.000000
20260718-162332-505,2,2,25.736591,5.749528,25.917224,4.854558,0.231000,1.267109,0.770000,0.000000
20260718-162332-505,2,3,25.743499,5.771571,25.924132,4.876601,0.308000,1.267109,0.769945,0.000000
20260718-162332-505,2,4,25.752710,5.800962,25.933343,4.905991,0.384995,1.267109,0.769963,0.060991
20260718-162332-505,2,5,25.761636,5.837272,25.947049,4.943280,0.461991,1.272452,0.769951,0.060008
20260718-162332-505,2,6,25.772120,5.880922,25.963168,4.988117,0.538986,1.278761,0.769937,0.059025
20260718-162332-505,2,7,25.784035,5.931948,25.981541,5.040549,0.615980,1.285999,0.759041,0.058042
20260718-162332-505,2,8,25.797238,5.990387,26.001989,5.100625,0.691884,1.294134,0.766417,0.346440
20260718-162332-505,2,9,25.787279,6.051494,26.042181,5.174781,0.768525,1.350900,0.765856,0.340565
20260718-162332-505,2,10,25.772523,6.118811,26.081168,5.259545,0.845111,1.412796,0.765300,0.334691
20260718-162332-505,2,11,25.751904,6.191900,26.117215,5.355152,0.921641,1.479594,0.753393,0.328817
20260718-162332-505,2,12,25.724318,6.270171,26.148447,5.461645,0.996980,1.551064,0.762015,0.376739
20260718-162332-505,2,13,25.681985,6.349418,26.176795,5.582109,1.073182,1.640709,0.761345,0.369922
20260718-162332-505,2,14,25.629206,6.430684,26.194269,5.713533,1.149317,1.735289,0.760724,0.363100
20260718-162332-505,2,15,25.564958,6.512431,26.198297,5.854798,1.225389,1.834535,0.760160,0.356271
20260718-162332-505,2,16,25.488389,6.592884,26.186366,6.004303,1.301405,1.938178,0.759660,0.349434
20260718-162332-505,2,17,25.398874,6.670036,26.156114,6.159950,1.377371,2.045954,0.759231,0.342588
20260718-162332-505,2,18,25.296072,6.741678,26.105429,6.319136,1.453294,2.157600,0.758877,0.335733
20260718-162332-505,2,19,25.179982,6.805441,26.032561,6.478777,1.529182,2.272854,0.758603,0.328867
20260718-162332-505,2,20,25.050985,6.858842,25.936226,6.635352,1.605042,2.391455,0.758413,0.321990
20260718-162332-505,2,21,24.909888,6.899347,25.815712,6.784970,1.680883,2.513147,0.758311,0.315102
20260718-162332-505,2,22,24.757949,6.924448,25.670965,6.923463,1.756714,2.637670,0.758297,0.308203
20260718-162332-505,2,23,24.596894,6.931745,25.502671,7.046501,1.832544,2.764771,0.758375,0.301292
20260718-162332-505,2,24,24.428914,6.919027,25.312304,7.149726,1.908381,2.894196,0.758544,0.294369
20260718-162332-505,2,25,24.256643,6.884371,25.102158,7.228905,1.984236,3.025691,0.758806,0.287435
20260718-162332-505,2,26,24.083122,6.826221,24.875340,7.280083,2.060117,3.159005,0.759160,0.280489
20260718-162332-505,2,27,23.911743,6.743476,24.635732,7.299749,2.136033,3.293888,0.789770,0.273532
20260718-162332-505,2,28,23.746172,6.635558,24.387924,7.284984,2.215009,3.430091,0.761488,0.247166
20260718-162332-505,2,29,23.585594,6.507386,24.139904,7.232879,2.291158,3.557115,0.762016,0.240691
20260718-162332-505,2,30,23.436357,6.355593,23.893674,7.145822,2.367360,3.684925,0.762618,0.234209
20260718-162332-505,2,31,23.301974,6.181024,23.654365,7.023295,2.443622,3.813294,0.848290,0.227718
20260718-162332-505,2,32,23.185884,5.985068,23.427260,6.865601,2.528451,3.941993,0.388090,0.171325
20260718-162332-505,2,33,23.072196,5.776247,23.224976,6.676390,2.567260,4.041420,0.000000,0.168774
20260718-162332-505,2,34,22.977685,5.553893,23.040365,6.464755,2.567260,4.140840,-0.000000,0.168774
20260718-162332-505,2,35,22.905710,5.323255,22.877672,6.235842,2.567260,4.240260,0.126609,0.168774
20260718-162332-505,2,36,22.856982,5.086613,22.738503,5.991910,2.579921,4.339680,-0.000000,-0.013384
