run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-163124-574 opt=secuencial condiciones_iniciales=[{'id': 1, 'inicio': (15.423, 18.128), 'giro_inicial': 283.306, 'meta': (26.082, 19.415), 'angulo_llegada': 260.292, 'largo': 0.91, 'ancho': 0.52, 'v_max': 2.96, 'v_inicial': 0.0, 'a_max': 0.85, 'giro_max': 28.5, 'grupo': 1, 'prioridad': 1}, {'id': 2, 'inicio': (26.07, 12.75), 'giro_inicial': 307.8, 'meta': (23.9, 3.3), 'angulo_llegada': 34.8, 'largo': 0.77, 'ancho': 0.47, 'v_max': 2.0, 'v_inicial': 0.0, 'a_max': 0.92, 'giro_max': 39.4, 'grupo': 2, 'prioridad': 2}, {'id': 3, 'inicio': (33.81, 18.08), 'giro_inicial': 332.2, 'meta': (10.33, 7.33), 'angulo_llegada': 215.0, 'largo': 0.92, 'ancho': 0.54, 'v_max': 2.46, 'v_inicial': 0.0, 'a_max': 0.99, 'giro_max': 29.3, 'grupo': 2, 'prioridad': 1}, {'id': 4, 'inicio': (17.1, 2.99), 'giro_inicial': 19.9, 'meta': (17.79, 8.52), 'angulo_llegada': 259.1, 'largo': 1.04, 'ancho': 0.54, 'v_max': 2.76, 'v_inicial': 0.0, 'a_max': 0.76, 'giro_max': 37.5, 'grupo': 2, 'prioridad': 3}, {'id': 5, 'inicio': (17.02, 13.53), 'giro_inicial': 354.2, 'meta': (30.3, 19.4), 'angulo_llegada': 236.7, 'largo': 0.98, 'ancho': 0.56, 'v_max': 2.49, 'v_inicial': 0.0, 'a_max': 0.61, 'giro_max': 32.4, 'grupo': 2, 'prioridad': 2}, {'id': 6, 'inicio': (27.8, 18.75), 'giro_inicial': 291.5, 'meta': (17.25, 12.21), 'angulo_llegada': 228.2, 'largo': 1.0, 'ancho': 0.52, 'v_max': 2.53, 'v_inicial': 0.0, 'a_max': 0.86, 'giro_max': 34.4, 'grupo': 1, 'prioridad': 1}]
20260718-163124-574,1,108,26.581323,19.533233,25.755682,20.178846,-0.339955,5.100400,0.849747,-2.907137
20260718-163124-574,1,109,26.563680,19.558256,25.748621,20.217178,-0.254981,5.084176,0.849865,-2.903579
20260718-163124-574,1,110,26.550608,19.577115,25.743755,20.246060,-0.169994,5.071816,0.849948,-2.900017
20260718-163124-574,1,111,26.541949,19.589713,25.740722,20.265388,-0.084999,5.063448,0.849992,-2.896452
20260718-163124-574,1,112,26.537620,19.596008,25.739272,20.275081,0.000000,5.059199,0.849965,0.000000
20260718-163124-574,1,113,26.537620,19.596008,25.739272,20.275081,0.084997,5.059199,0.849765,-0.490294
20260718-163124-574,1,114,26.537343,19.584384,25.745182,20.270665,0.169973,5.050135,0.849390,-0.483200
20260718-163124-574,1,115,26.536513,19.561244,25.756706,20.261531,0.254912,5.032316,0.848867,-0.476133
20260718-163124-574,1,116,26.534564,19.526717,25.773417,20.247241,0.339799,5.006050,0.848220,-0.469090
20260718-163124-574,1,117,26.530661,19.480974,25.794752,20.227257,0.424621,4.971641,0.847471,-0.462065
20260718-163124-574,1,118,26.523721,19.424261,25.819992,20.200963,0.509368,4.929389,0.846642,-0.455056
20260718-163124-574,1,119,26.512442,19.356939,25.848247,20.167707,0.594032,4.879592,0.845754,-0.448060
20260718-163124-574,1,120,26.495328,19.279524,25.878442,20.126844,0.678607,4.822543,-0.443219,-0.441074
20260718-163124-574,1,121,26.470734,19.192734,25.909310,20.077778,0.634286,4.758534,-0.846226,-0.444735
20260718-163124-574,1,122,26.442605,19.113059,25.935627,20.030377,0.549663,4.698137,-0.847085,-0.451726
20260718-163124-574,1,123,26.414103,19.045290,25.956700,19.988308,0.464954,4.644852,-0.847875,-0.458728
20260718-163124-574,1,124,26.386970,18.989052,25.973298,19.952056,0.380167,4.598973,-3.801669,-0.465745
20260718-163124-574,1,125,26.362696,18.943900,25.986082,19.921991,0.000000,4.560795,0.000000,0.000000
20260718-163124-574,2,0,26.491656,12.589823,25.648344,12.910177,-0.091990,5.372123,-0.919376,2.555699
20260718-163124-574,2,1,26.488178,12.603105,25.640336,12.911269,-0.183928,5.386538,-0.918434,2.569360
20260718-163124-574,2,2,26.480438,12.629071,25.624309,12.913400,-0.275771,5.414513,-0.917193,2.582958
20260718-163124-574,2,3,26.467201,12.666936,25.600211,12.916193,-0.367491,5.455214,0.917193,2.596508
20260718-163124-574,2,4,26.446874,12.715666,25.567975,12.918981,-0.275771,5.507831,0.918434,2.582958
20260718-163124-574,2,5,26.430165,12.752132,25.543721,12.919516,-0.183928,5.548533,0.919376,2.569360
20260718-163124-574,2,6,26.418339,12.776510,25.527560,12.919033,-0.091990,5.576507,0.919904,2.555699
20260718-163124-574,2,7,26.412238,12.788809,25.519497,12.918478,0.000000,5.590922,0.919904,0.000000
20260718-163124-574,2,8,26.412238,12.788809,25.519497,12.918478,0.091990,5.590922,0.919376,0.585894
20260718-163124-574,2,9,26.420292,12.789481,25.525775,12.906268,0.183928,5.605337,0.918434,0.572232
20260718-163124-574,2,10,26.436400,12.790880,25.538966,12.882601,0.275771,5.633312,0.917193,0.558635
20260718-163124-574,2,11,26.460530,12.793384,25.560107,12.848512,0.367491,5.674013,0.915751,0.545085
20260718-163124-574,2,12,26.492602,12.797660,25.590526,12.805356,0.459066,5.726630,0.914197,0.531567
20260718-163124-574,2,13,26.532458,12.804635,25.631723,12.754855,0.550486,5.790371,0.912606,0.518069
20260718-163124-574,2,14,26.579811,12.815461,25.685233,12.699142,0.641746,5.864462,0.911045,0.504578
20260718-163124-574,2,15,26.634203,12.831470,25.752479,12.640782,0.732851,5.948149,-0.012371,0.491085
20260718-163124-574,2,16,26.694953,12.854129,25.834623,12.582777,0.731614,6.040691,0.000000,0.563827
20260718-163124-574,2,17,26.750546,12.890436,25.924924,12.526912,0.731614,6.149922,0.000000,0.563827
20260718-163124-574,2,18,26.801850,12.932586,26.020778,12.481225,0.731614,6.259153,-0.000000,0.563827
20260718-163124-574,2,19,26.848253,12.980078,26.121041,12.446259,0.731614,6.368385,0.963524,0.563827
20260718-163124-574,2,20,26.889202,13.032346,26.224518,12.422431,0.827966,6.477616,0.919900,0.046300
20260718-163124-574,2,21,26.967518,13.052076,26.308386,12.436166,0.919956,6.486674,0.919889,0.044958
20260718-163124-574,2,22,27.054408,13.074754,26.401327,12.452432,1.011945,6.496447,0.919879,0.043615
20260718-163124-574,2,23,27.149824,13.100592,26.503268,12.471493,1.103933,6.506875,0.920393,0.042272
20260718-163124-574,2,24,27.253709,13.129812,26.614129,12.493623,1.195972,6.517901,0.919953,0.024160
20260718-163124-574,2,25,27.367659,13.160595,26.732435,12.520056,1.287967,6.524725,0.919952,0.023368
20260718-163124-574,2,26,27.490214,13.194541,26.859558,12.549504,1.379963,6.531833,0.919951,0.022575
20260718-163124-574,2,27,27.621335,13.231797,26.995442,12.582136,1.471958,6.539190,0.919073,0.021782
20260718-163124-574,2,28,27.760983,13.272508,27.140027,12.618127,1.563865,6.546762,0.919866,-0.035559
20260718-163124-574,2,29,27.916775,13.307162,27.287277,12.660995,1.655852,6.533626,0.919873,-0.034216
